sunrise,sunset
0758,1629  
0758,1630  
0757,1631  
0757,1632  
0757,1633  
0757,1634  
0757,1635  
0756,1637  
0756,1638  
0755,1639  
0755,1640  
0754,1642  
0754,1643  
0753,1644  
0753,1646  
0752,1647  
0751,1648  
0750,1650  
0750,1651  
0749,1653  
0748,1654  
0747,1656  
0746,1657  
0745,1659  
0744,1700  
0743,1702  
0742,1703  
0740,1705  
0739,1706  
0738,1708  
0737,1710  
0735,1711  
0734,1713  
0733,1714  
0731,1716  
0730,1717  
0728,1719  
0727,1721  
0725,1722  
0724,1724  
0722,1725  
0721,1727  
0719,1728  
0718,1730  
0716,1732  
0714,1733  
0713,1735  
0711,1736  
0709,1738  
0707,1739  
0706,1741  
0704,1743  
0702,1744  
0700,1746  
0658,1747  
0657,1749  
0655,1750  
0653,1752  
0651,1753  
0649,1755  
0647,1756             
0645,1758             
0643,1759             
0641,1801  
0639,1802  
0638,1804  
0636,1805  
0634,1807  
0632,1808  
0630,1810  
0628,1811  
0626,1812  
0624,1814  
0622,1815  
0620,1817  
0618,1818  
0616,1820  
0613,1821  
0611,1823  
0609,1824  
0607,1825  
0605,1827  
0603,1828  
0601,1830  
0559,1831  
0557,1833  
0555,1834  
0553,1836  
0551,1837  
0549,1838  
0547,1840  
0545,1841  
0543,1843  
0541,1844  
0539,1845  
0537,1847  
0535,1848  
0533,1850  
0531,1851  
0529,1853  
0527,1854  
0526,1855  
0524,1857  
0522,1858  
0520,1900  
0518,1901  
0516,1902  
0514,1904  
0512,1905  
0511,1907  
0509,1908  
0507,1909  
0505,1911  
0503,1912  
0502,1914  
0500,1915  
0458,1916  
0457,1918  
0455,1919  
0453,1921  
0452,1922  
0450,1923             
0448,1925  
0447,1926  
0445,1928  
0444,1929  
0442,1930  
0441,1932  
0439,1933  
0438,1934  
0437,1936  
0435,1937  
0434,1938  
0433,1939  
0431,1941  
0430,1942  
0429,1943  
0428,1944  
0427,1946  
0426,1947  
0425,1948  
0424,1949  
0423,1950  
0422,1951  
0421,1953  
0420,1954  
0419,1955  
0418,1956  
0417,1957  
0417,1958  
0416,1959  
0415,2000  
0415,2000  
0414,2001  
0414,2002  
0413,2003  
0413,2004  
0412,2004  
0412,2005  
0412,2006  
0412,2006  
0411,2007  
0411,2008  
0411,2008  
0411,2009  
0411,2009  
0411,2009  
0411,2010  
0411,2010  
0411,2010  
0411,2011  
0412,2011  
0412,2011  
0412,2011  
0412,2011  
0413,2011  
0413,2011  
0414,2011  
0414,2011  
0415,2011  
0415,2011  
0416,2010  
0416,2010             
0417,2010  
0418,2009  
0419,2009  
0419,2009  
0420,2008  
0421,2008  
0422,2007  
0423,2006  
0424,2006  
0424,2005  
0425,2004  
0426,2003  
0427,2003  
0428,2002  
0430,2001  
0431,2000  
0432,1959  
0433,1958  
0434,1957  
0435,1956  
0436,1955  
0437,1954  
0439,1952  
0440,1951  
0441,1950  
0442,1949  
0444,1947  
0445,1946  
0446,1945  
0447,1943  
0449,1942  
0450,1940  
0451,1939  
0452,1937  
0454,1936  
0455,1934  
0456,1933  
0458,1931  
0459,1929  
0500,1928  
0502,1926  
0503,1924  
0504,1923  
0506,1921  
0507,1919  
0508,1917  
0510,1916  
0511,1914  
0512,1912  
0514,1910  
0515,1908  
0516,1906  
0518,1904  
0519,1903  
0520,1901  
0522,1859  
0523,1857  
0524,1855  
0526,1853  
0527,1851  
0528,1849  
0530,1847  
0531,1845  
0532,1843  
0534,1841  
0535,1839  
0536,1837  
0538,1835  
0539,1833  
0540,1831  
0542,1829  
0543,1827  
0544,1825  
0546,1823  
0547,1821  
0548,1819  
0550,1817  
0551,1814  
0553,1812  
0554,1810  
0555,1808  
0557,1806  
0558,1804  
0559,1802  
0601,1800  
0602,1758  
0603,1756  
0605,1754  
0606,1752  
0608,1750  
0609,1748  
0610,1746             
0612,1744  
0613,1742  
0614,1740  
0616,1738  
0617,1736  
0619,1734  
0620,1732  
0622,1730  
0623,1728  
0624,1726  
0626,1724  
0627,1722  
0629,1720  
0630,1719  
0632,1717  
0633,1715  
0635,1713  
0636,1711  
0638,1709  
0639,1708  
0641,1706  
0642,1704  
0644,1703  
0645,1701  
0647,1659  
0648,1658  
0650,1656  
0651,1654  
0653,1653  
0654,1651  
0656,1650  
0657,1648  
0659,1647  
0700,1645  
0702,1644  
0703,1642  
0705,1641  
0706,1640  
0708,1638  
0709,1637  
0711,1636  
0712,1635  
0714,1634  
0715,1632  
0717,1631  
0718,1630  
0720,1629  
0721,1628  
0722,1627  
0724,1626  
0725,1626  
0727,1625  
0728,1624  
0729,1623  
0731,1622  
0732,1622  
0733,1621  
0735,1621  
0736,1620  
0737,1620
0738,1619           
0740,1619
0741,1619
0742,1618
0743,1618
0744,1618
0745,1618
0746,1618
0747,1618
0748,1618
0749,1618
0750,1618
0750,1618
0751,1618
0752,1618
0753,1619
0753,1619
0754,1619
0754,1620
0755,1620
0755,1621
0756,1621
0756,1622
0757,1623
0757,1623
0757,1624
0757,1625
0758,1626
0758,1627
0758,1628
